"filename", "language", "XML", "C#", "Markdown", "PostCSS", "JavaScript", "HTML", "JSON", "Properties", "comment", "blank", "total"
"d:\Code\MMT\RCS\RCS.Agent\Program.cs", "C#", 0, 380, 0, 0, 0, 0, 0, 0, 97, 89, 566
"d:\Code\MMT\RCS\RCS.Agent\RCS.Agent.csproj", "XML", 16, 0, 0, 0, 0, 0, 0, 0, 2, 5, 23
"d:\Code\MMT\RCS\RCS.Agent\Services\SignalRClient.cs", "C#", 0, 78, 0, 0, 0, 0, 0, 0, 39, 22, 139
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\ApplicationManager.cs", "C#", 0, 239, 0, 0, 0, 0, 0, 0, 68, 49, 356
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\AutomationService.cs", "C#", 0, 73, 0, 0, 0, 0, 0, 0, 5, 11, 89
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\Keylogger.cs", "C#", 0, 152, 0, 0, 0, 0, 0, 0, 8, 20, 180
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\MediaCapture.cs", "C#", 0, 147, 0, 0, 0, 0, 0, 0, 54, 40, 241
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\ProcessMonitor.cs", "C#", 0, 139, 0, 0, 0, 0, 0, 0, 34, 29, 202
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\SystemControl.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 32, 9, 66
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\SystemInfo.cs", "C#", 0, 144, 0, 0, 0, 0, 0, 0, 9, 13, 166
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\TerminalService.cs", "C#", 0, 97, 0, 0, 0, 0, 0, 0, 7, 16, 120
"d:\Code\MMT\RCS\RCS.Agent\Services\Windows\UI\ModernMessageBox.cs", "C#", 0, 94, 0, 0, 0, 0, 0, 0, 13, 19, 126
"d:\Code\MMT\RCS\RCS.Client\Old.public\index.html", "HTML", 0, 0, 0, 0, 0, 64, 0, 0, 10, 9, 83
